År,Østfold,Akershus,Oslo,Hedmark,Oppland,Buskerud,Vestfold,Telemark,Aust-Agder,Vest-Agder,Rogaland,Hordaland,Sogn og Fjordane,Møre og Romsdal,Sør-Trøndelag,Nord-Trøndelag,Nordland,Troms,Finnmark,Svalbard,Jan Mayen,SUM
1980,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,9,3,0,7,0,0,23
1981,20,2,2,0,0,1,16,5,5,1,1,2,0,1,4,1,3,0,0,0,0,64
1982,13,1,2,0,1,1,6,5,4,7,11,2,0,1,0,0,9,2,0,0,0,65
1983,0,4,1,0,0,0,3,6,3,5,7,1,2,8,4,9,83,23,6,0,0,165
1984,1,1,1,0,0,4,17,5,12,32,7,4,0,1,2,0,3,3,2,0,0,95
1985,6,1,4,0,0,5,26,22,11,11,0,3,0,0,0,2,8,7,11,0,0,117
1986,1,1,0,2,1,0,2,1,1,4,0,6,2,1,1,1,1,1,1,0,0,27
1987,280,295,160,2,8,187,331,336,329,750,165,9,2,4,4,0,7,1,3,0,0,2873
1988,4,1,1,2,2,2,3,3,2,1,14,11,33,100,6,11,5,3,0,0,0,204
1989,13,0,4,0,3,1,5,0,3,3,12,34,14,15,10,11,96,14,5,0,0,243
1990,59,30,14,0,2,11,89,108,73,119,78,287,139,60,5,15,10,14,6,0,0,1119
1991,35,8,11,3,3,8,27,18,22,27,9,38,8,7,1,3,5,3,1,0,0,237
1992,7,0,5,0,0,1,6,3,1,5,11,20,18,30,4,9,8,4,2,0,0,134
1993,8,1,6,0,2,0,5,5,8,30,86,125,56,97,12,6,37,36,19,0,0,539
1994,2,3,3,1,2,2,6,4,2,13,201,143,6,3,6,1,14,3,2,0,0,417
1995,10,45,4,37,27,1,1,1,1,0,3,21,3,7,5,2,4,2,8,0,0,182
1996,1,1,2,1,1,1,1,1,3,3,2,7,1,2,3,1,38,8,0,0,0,77
1997,15,7,1,6,7,3,6,1,2,0,2,8,2,11,10,12,17,16,18,0,0,144
1998,0,1,0,1,2,1,0,1,2,3,4,4,8,24,5,2,12,8,10,0,0,88
1999,2,7,3,1,3,1,5,1,6,11,19,24,5,13,6,10,21,9,2,0,0,149
2000,45,51,23,5,2,69,167,199,210,696,150,42,10,8,8,3,34,8,3,0,0,1733
2001,0,3,1,0,1,4,3,10,6,12,4,3,0,6,4,4,5,4,0,0,0,70
2002,0,2,1,0,0,1,1,3,7,5,5,9,0,3,2,3,12,5,3,0,0,62
2003,4,3,1,1,1,1,4,2,1,3,1,5,4,5,3,4,5,7,7,0,0,62
2004,1,0,3,1,0,4,5,2,1,3,9,8,1,25,2,1,50,15,7,0,0,138
2005,53,20,14,0,1,6,46,30,35,91,348,492,94,34,13,15,38,12,9,0,0,1351
2006,5,2,2,0,2,0,1,5,2,4,6,10,5,6,3,6,72,2,5,0,0,138
2007,10,3,1,0,0,3,8,8,5,9,39,51,6,9,4,1,6,1,5,0,0,169
2008,12,6,4,1,1,5,19,14,19,35,12,12,42,157,9,14,14,5,1,0,0,382
2009,6,2,0,2,0,3,2,1,0,4,7,5,2,5,0,2,16,7,2,0,0,66
2010,5,0,0,2,1,1,0,2,6,2,0,4,3,3,0,2,3,3,0,0,0,37
2011,23,22,24,2,15,10,32,28,12,28,70,83,328,860,413,482,1132,138,41,0,0,3743
2012,0,3,1,0,1,1,4,2,2,11,23,15,9,13,6,13,20,3,2,0,0,129
2013,26,37,13,2,4,9,13,12,14,15,55,84,10,11,13,17,36,4,1,0,0,376
2014,10,8,3,1,2,2,10,9,6,11,21,26,5,6,7,9,15,4,2,0,0,157
2015,14,7,4,2,3,2,15,13,7,36,209,315,5,16,5,8,77,18,5,0,0,761
2016,5,2,4,1,1,1,3,3,4,5,7,10,8,6,2,2,10,2,6,0,0,82
