År,Østfold,Akershus,Oslo,Hedmark,Oppland,Buskerud,Vestfold,Telemark,Aust-Agder,Vest-Agder,Rogaland,Hordaland,Sogn og Fjordane,Møre og Romsdal,Sør-Trøndelag,Nord-Trøndelag,Nordland,Troms,Finnmark,Svalbard,Jan Mayen,SUM
1980,0,0,0,0,0,0,0,0,0,0,51,0,0,26,79,141,0,0,94,0,0,391
1981,1467,0,21,0,0,0,482,48,113,0,368,25,0,0,26,1,1,0,0,0,0,2552
1982,132,0,4,0,0,1,25,14,86,60,26,1,0,53,0,0,54,13,0,0,0,469
1983,0,40,10,0,0,0,0,92,21,23,24,0,205,16,59,182,1040,450,200,0,0,2362
1984,0,18,1,0,0,353,434,37,47,510,62,12,0,7,9,0,4,8,70,0,0,1572
1985,249,14,163,0,0,478,808,367,109,196,0,0,0,0,0,0,35,28,215,0,0,2662
1986,7,0,0,2,0,0,3,22,14,8,0,20,41,1,0,0,7,1,0,0,0,126
1987,16844,11357,14225,35,399,23171,17399,13868,5751,22638,3200,74,43,260,24,0,268,7,11,0,0,129574
1988,66,25,0,207,5,4,43,52,32,86,212,406,245,1813,235,165,103,216,0,0,0,3915
1989,247,0,0,0,7,3,62,0,26,1,107,1202,235,265,449,183,1403,444,35,0,0,4669
1990,7646,652,244,0,1,475,4644,3413,1342,2333,1260,7457,3222,1362,202,112,147,82,27,0,0,34621
1991,2900,39,16,0,57,239,566,311,289,269,57,581,73,18,22,14,4,30,0,0,0,5485
1992,22,0,127,0,0,0,262,16,0,40,36,310,378,1242,35,913,114,74,21,0,0,3590
1993,685,105,71,0,1,0,73,50,42,259,1329,2284,1389,2795,315,49,1046,578,567,0,0,11638
1994,0,140,12,1,44,111,442,696,16,176,3967,2436,62,3,76,95,502,27,50,0,0,8856
1995,622,1988,259,10810,5053,10,156,26,5,0,4,296,39,167,1047,17,107,56,926,0,0,21588
1996,0,10,30,0,42,1,1,11,0,52,13,81,3,67,16,25,3696,394,0,0,0,4442
1997,1106,699,24,111,115,76,280,5,51,0,21,231,145,302,180,161,916,374,1919,0,0,6716
1998,0,2,0,54,106,14,0,95,0,3,13,168,68,906,278,238,433,193,163,0,0,2734
1999,34,104,286,0,8,19,225,0,151,287,1310,1481,19,248,95,270,1544,231,60,0,0,6372
2000,2302,8266,3887,75,0,5347,10529,11223,7082,33659,7494,761,407,143,927,48,2340,811,20,0,0,95321
2001,0,167,0,0,0,178,133,110,37,298,292,123,0,38,119,222,129,66,0,0,0,1912
2002,0,175,83,0,0,49,34,13,34,142,70,678,0,14,23,135,1405,413,92,0,0,3360
2003,252,21,0,9,24,11,7,46,17,40,0,113,101,1568,177,373,228,231,135,0,0,3353
2004,36,0,156,75,0,428,170,43,0,13,438,111,0,1304,120,5,3791,410,658,0,0,7758
2005,4058,1514,322,0,132,91,1435,1141,725,2888,19181,26168,4801,1065,462,432,1117,301,202,0,0,66035
2006,70,25,531,0,32,0,0,34,2,1,109,82,146,165,139,269,12489,0,155,0,0,14249
2007,416,0,16,0,0,289,105,231,110,233,1006,2136,1823,157,316,10,53,105,334,0,0,7340
2008,385,263,132,34,78,69,857,494,762,1649,741,362,2797,4251,199,444,538,219,0,0,0,14274
2009,192,0,0,31,0,4,4,1,0,105,56,684,17,59,0,13,578,171,21,0,0,1936
2010,57,0,0,41,6,38,0,183,8,11,0,14,71,845,0,51,90,1449,0,0,0,2864
2011,741,1247,6760,59,1810,681,967,1435,138,1028,5266,4984,26281,77615,39729,30365,199822,27022,3463,0,0,429413
2012,0,36,0,0,0,0,87,0,43,288,422,572,368,352,240,558,2820,212,92,0,0,6090
2013,1871,2005,604,31,1068,328,474,281,327,602,2123,3232,204,158,394,593,796,266,0,0,0,15357
2014,172,576,36,150,73,58,467,105,177,953,794,772,257,133,154,215,203,147,110,0,0,5552
2015,987,437,83,68,146,39,1041,367,247,3066,12699,18881,130,1077,177,332,4074,853,207,0,0,44911
2016,412,1,119,30,60,0,117,215,72,123,199,384,346,98,138,71,290,36,250,0,0,2961
