Year,CPI
2016,0
2015,139
2014,136
2013,134
2012,131
2011,130
2010,128
2009,125
2008,123
2007,118
2006,117
2005,115
2004,113
2003,112
2002,110
2001,108
2000,105
1999,102
1998,100
1997,97
1996,95
1995,94
1994,91
1993,90
1992,88
1991,86
1990,83
1989,80
1988,76
1987,72
1986,66
1985,61
1984,58
1983,55
1982,50
1981,45
1980,40
1979,36
1978,34
1977,32
1976,29
1975,26
1974,24
1973,22
1972,20
1971,19
1970,17
1969,16
1968,15
1967,15
1966,14
1965,14
1964,13
1963,12
1962,12
1961,11
1960,11
1959,11
1958,11
1957,10
1956,10
1955,10
1954,10
1953,9
1952,9
1951,8
1950,7
1949,7
1948,7
1947,7
1946,7
1945,6
1944,6
1943,6
1942,6
1941,6
1940,5
1939,4
1938,4
1937,4
1936,4
1935,3
1934,3
1933,3
1932,3
1931,4
1930,4
1929,4
1928,4
1927,4
1926,5
1925,6
1924,6
1923,5
